"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"588","2013-12-01 00:21:52","2013-12-01 00:31:40","326","E 11 St & 1 Ave","40.72953837","-73.98426726","412","Forsyth St & Canal St","40.7158155","-73.99422366","18247","Subscriber","1970","1"
"1185","2013-12-01 00:22:10","2013-12-01 00:41:55","173","Broadway & W 49 St","40.76064679","-73.98442659","513","W 56 St & 10 Ave","40.768254","-73.988639","19926","Customer",\N,"0"
"207","2013-12-01 00:22:13","2013-12-01 00:25:40","223","W 13 St & 7 Ave","40.73781509","-73.99994661","168","W 18 St & 6 Ave","40.73971301","-73.99456405","14799","Subscriber","1990","1"
"288","2013-12-01 00:22:16","2013-12-01 00:27:04","450","W 49 St & 8 Ave","40.76227205","-73.98788205","302","Avenue D & E 3 St","40.72082834","-73.97793172","15619","Subscriber","1958","1"
"373","2013-12-01 00:22:30","2013-12-01 00:28:43","2003","1 Ave & E 18 St","40.73416059","-73.98024289","393","E 5 St & Avenue C","40.72299208","-73.97995466","16608","Subscriber","1984","1"
"280","2013-12-01 00:22:33","2013-12-01 00:27:13","120","Lexington Ave & Classon Ave","40.68676793","-73.95928168","258","DeKalb Ave & Vanderbilt Ave","40.68940747","-73.96885458","20016","Subscriber","1981","1"
"1243","2013-12-01 00:22:35","2013-12-01 00:43:18","526","E 33 St & 5 Ave","40.74765947","-73.98490707","412","Forsyth St & Canal St","40.7158155","-73.99422366","18340","Subscriber","1983","1"
"1209","2013-12-01 00:22:36","2013-12-01 00:42:45","518","E 39 St & 2 Ave","40.74780373","-73.9734419","284","Greenwich Ave & 8 Ave","40.7390169121","-74.0026376103","14800","Subscriber","1979","1"
"1167","2013-12-01 00:22:41","2013-12-01 00:42:08","173","Broadway & W 49 St","40.76064679","-73.98442659","513","W 56 St & 10 Ave","40.768254","-73.988639","17374","Customer",\N,"0"
"666","2013-12-01 00:23:02","2013-12-01 00:34:08","316","Fulton St & William St","40.70955958","-74.00653609","361","Allen St & Hester St","40.71605866","-73.99190759","16550","Subscriber","1985","1"
"351","2013-12-01 00:23:08","2013-12-01 00:28:59","397","Fulton St & Clermont Ave","40.68415748","-73.96922273","244","Willoughby Ave & Hall St","40.69196035","-73.96536851","17903","Subscriber","1985","2"
"1104","2013-12-01 00:23:29","2013-12-01 00:41:53","263","Elizabeth St & Hester St","40.71729","-73.996375","507","E 25 St & 2 Ave","40.73912601","-73.97973776","15030","Subscriber","1978","2"
"1095","2013-12-01 00:24:07","2013-12-01 00:42:22","311","Norfolk St & Broome St","40.7172274","-73.98802084","282","Kent Ave & S 11 St","40.70827295","-73.96834101","20102","Subscriber","1953","1"
"1119","2013-12-01 00:24:39","2013-12-01 00:43:18","473","Rivington St & Chrystie St","40.72110063","-73.9919254","254","W 11 St & 6 Ave","40.73532427","-73.99800419","17607","Subscriber","1972","2"
"451","2013-12-01 00:24:44","2013-12-01 00:32:15","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","445","E 10 St & Avenue A","40.72740794","-73.98142006","17160","Subscriber","1987","2"
"1719","2013-12-01 00:25:08","2013-12-01 00:53:47","293","Lafayette St & E 8 St","40.73028666","-73.9907647","499","Broadway & W 60 St","40.76915505","-73.98191841","17832","Subscriber","1989","1"
"631","2013-12-01 00:25:49","2013-12-01 00:36:20","463","9 Ave & W 16 St","40.74206539","-74.00443172","466","W 25 St & 6 Ave","40.74395411","-73.99144871","17820","Customer",\N,"0"
"202","2013-12-01 00:25:50","2013-12-01 00:29:12","478","11 Ave & W 41 St","40.76030096","-73.99884222","448","W 37 St & 10 Ave","40.75660359","-73.9979009","16251","Subscriber","1965","1"
"614","2013-12-01 00:26:07","2013-12-01 00:36:21","463","9 Ave & W 16 St","40.74206539","-74.00443172","466","W 25 St & 6 Ave","40.74395411","-73.99144871","14726","Customer",\N,"0"
"937","2013-12-01 00:26:17","2013-12-01 00:41:54","212","W 16 St & The High Line","40.74334935","-74.00681753","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","18359","Subscriber","1979","1"
"2752","2013-12-01 00:26:39","2013-12-01 01:12:31","343","Clinton Ave & Flushing Ave","40.69794","-73.96986848","242","Flushing Ave & Carlton Ave","40.69788349","-73.97350332","15817","Customer",\N,"0"
"588","2013-12-01 00:26:48","2013-12-01 00:36:36","386","Centre St & Worth St","40.71494807","-74.00234482","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","20135","Subscriber","1979","1"
"683","2013-12-01 00:27:38","2013-12-01 00:39:01","442","W 27 St & 7 Ave","40.746647","-73.993915","346","Bank St & Hudson St","40.73652889","-74.00618026","19423","Subscriber","1979","1"
"736","2013-12-01 00:27:55","2013-12-01 00:40:11","386","Centre St & Worth St","40.71494807","-74.00234482","410","Suffolk St & Stanton St","40.72066442","-73.98517977","19412","Subscriber","1970","2"
"389","2013-12-01 00:28:13","2013-12-01 00:34:42","444","Broadway & W 24 St","40.7423543","-73.98915076","483","E 12 St & 3 Ave","40.73223272","-73.98889957","20872","Subscriber","1982","1"
"577","2013-12-01 00:28:23","2013-12-01 00:38:00","317","E 6 St & Avenue B","40.72453734","-73.98185424","285","Broadway & E 14 St","40.73454567","-73.99074142","19455","Subscriber","1987","1"
"388","2013-12-01 00:28:31","2013-12-01 00:34:59","442","W 27 St & 7 Ave","40.746647","-73.993915","404","9 Ave & W 14 St","40.7405826","-74.00550867","18319","Subscriber","1980","1"
"653","2013-12-01 00:28:49","2013-12-01 00:39:42","128","MacDougal St & Prince St","40.72710258","-74.00297088","433","E 13 St & Avenue A","40.72955361","-73.98057249","20109","Subscriber","1955","1"
"576","2013-12-01 00:29:05","2013-12-01 00:38:41","312","Allen St & E Houston St","40.722055","-73.989111","264","Maiden Ln & Pearl St","40.70706456","-74.00731853","19617","Subscriber","1978","1"
"495","2013-12-01 00:29:35","2013-12-01 00:37:50","348","W Broadway & Spring St","40.72490985","-74.00154702","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","16637","Subscriber","1966","1"
"456","2013-12-01 00:30:13","2013-12-01 00:37:49","173","Broadway & W 49 St","40.76064679","-73.98442659","492","W 33 St & 7 Ave","40.75019995","-73.99093085","20315","Subscriber","1979","1"
"303","2013-12-01 00:31:26","2013-12-01 00:36:29","502","Henry St & Grand St","40.714215","-73.981346","295","Pike St & E Broadway","40.71406667","-73.99293911","20595","Subscriber","1965","1"
